quality,subgroup,size_sg,size_dataset,positives_sg,positives_dataset,size_complement,relative_size_sg,relative_size_complement,coverage_sg,coverage_complement,target_share_sg,target_share_complement,target_share_dataset,lift,ano
0.007710145461726031,tipo_pista=='simples' AND uso_solo=='não',46423,127632,2962,5438,81209,0.3637253980193055,0.6362746019806945,0.5446855461566752,0.45531445384332475,0.06380457962647826,0.030489231489120663,0.04260686975053278,1.497518592660293,2007
0.007662563911494072,tipo_acidente=='colisão frontal',4577,127632,1173,5438,123055,0.03586091262379341,0.9641390873762066,0.21570430305259286,0.7842956969474071,0.2562814070351759,0.03465929868757873,0.04260686975053278,6.015025476777045,2007
0.007300563771989951,tipo_acidente=='colisão frontal' AND tipo_pista=='simples',3995,127632,1102,5438,123637,0.03130092766704275,0.9686990723329573,0.20264803236484003,0.79735196763516,0.2758448060075094,0.035070407725842585,0.04260686975053278,6.474186149384045,2007
0.006846200298946159,tipo_pista=='simples',71613,127632,3925,5438,56019,0.5610896953742008,0.43891030462579916,0.7217727105553512,0.27822728944464875,0.054808484493038975,0.027008693478998196,0.04260686975053278,1.2863766996718555,2007
0.006823354156645259,tipo_acidente=='atropelamento de pedestre',3852,127632,1035,5438,123780,0.030180518992102293,0.9698194810078977,0.19032732622287607,0.8096726737771239,0.26869158878504673,0.03557117466472774,0.04260686975053278,6.3062973261885045,2007
0.006438033839579125,fase_dia=='plena noite',42864,127632,2648,5438,84768,0.3358405415569763,0.6641594584430237,0.48694372931224716,0.5130562706877528,0.06177678238148563,0.03291336353340883,0.04260686975053278,1.4499253933272847,2007
0.006304122745734341,fase_dia=='plena noite' AND tipo_pista=='simples',24747,127632,1859,5438,102885,0.19389338097028957,0.8061066190297104,0.341853622655388,0.658146377344612,0.07512021659191014,0.03478641201341304,0.04260686975053278,1.7631010452480094,2007
0.006290300093604641,tipo_acidente=='colisão frontal' AND uso_solo=='não',2914,127632,927,5438,124718,0.022831264886548828,0.9771687351134511,0.17046708348657594,0.8295329165134241,0.3181194234728895,0.03616959861447425,0.04260686975053278,7.466388057501257,2007
0.006254271081029957,uso_solo=='não',65195,127632,3576,5438,62437,0.5108045004387615,0.48919549956123853,0.6575947039352703,0.3424052960647297,0.05485083211902753,0.02982206063712222,0.04260686975053278,1.2873706151187425,2007
0.006153483400565457,tipo_pista=='simples' AND tracado_via=='reta',48387,127632,2847,5438,79245,0.3791133884919142,0.6208866115080858,0.5235380654652446,0.47646193453475544,0.058838117676235355,0.032696069152627925,0.04260686975053278,1.3809537762510613,2007
0.006138508870989552,causa_acidente=='outras' AND tipo_pista=='simples',24140,127632,1812,5438,103492,0.18913752037106682,0.8108624796289332,0.3332107392423685,0.6667892607576315,0.07506213753106876,0.03503652456228501,0.04260686975053278,1.7617379068343817,2007
0.006105894852143942,tipo_pista=='simples' AND tracado_via=='reta' AND uso_solo=='não',30340,127632,2072,5438,97292,0.23771467970414942,0.7622853202958506,0.38102243471864655,0.6189775652813534,0.06829268292682927,0.03459688360810755,0.04260686975053278,1.6028561433095023,2007
0.006079834944757578,tipo_acidente=='colisão frontal' AND tipo_pista=='simples' AND uso_solo=='não',2723,127632,892,5438,124909,0.021334774978061927,0.9786652250219381,0.16403089371092314,0.8359691062890768,0.32757987513771575,0.03639449519250014,0.04260686975053278,7.688428581018194,2007
0.006010064222616391,tipo_acidente=='atropelamento de pedestre' AND tracado_via=='reta',3331,127632,909,5438,124301,0.02609847060298358,0.9739015293970165,0.16715704303052592,0.8328429569694741,0.2728910237166016,0.036435748706768245,0.04260686975053278,6.404859716623262,2007
0.005657095553675071,fase_dia=='plena noite' AND tracado_via=='reta',31614,127632,2069,5438,96018,0.247696502444528,0.752303497555472,0.3804707613093049,0.6195292386906951,0.06544568861896628,0.03508717115540836,0.04260686975053278,1.536036066534738,2007
0.005574366517202232,tipo_acidente=='colisão frontal' AND tracado_via=='reta',3181,127632,847,5438,124451,0.024923216748150935,0.9750767832518491,0.15575579257079808,0.8442442074292019,0.2662684690348947,0.03689002097210951,0.04260686975053278,6.249425752089313,2007
0.005545034526484087,fase_dia=='plena noite' AND uso_solo=='não',22585,127632,1670,5438,105047,0.17695405540930173,0.8230459445906982,0.3070981978668628,0.6929018021331372,0.07394288244410006,0.03586965834340819,0.04260686975053278,1.7354685494860942,2007
0.0055445975693501045,regiao=='nordeste' AND tipo_pista=='simples',17282,127632,1444,5438,110350,0.13540491412811834,0.8645950858718816,0.2655388010297904,0.7344611989702097,0.08355514408054623,0.0361939284096058,0.04260686975053278,1.9610721127782782,2007
0.005410899858899213,tracado_via=='reta' AND uso_solo=='não',42655,127632,2508,5438,84977,0.3342030211859095,0.6657969788140905,0.4611989702096359,0.5388010297903641,0.058797327394209356,0.03447991809548466,0.04260686975053278,1.3799964122798325,2007
